questions,answer,category
Bagaimana cara saya bisa terlibat dalam kegiatan ekstrakurikuler di FILKOM UB?,Anda dapat mengetahui cara terlibat dalam kegiatan ekstrakurikuler di FILKOM UB dengan bertanya kepada Fluent Chatbot. Chatbot akan memberikan panduan mengenai jenis kegiatan yang tersedia dan proses pendaftarannya.,Tentang chatbot dan sapaan
Bisakah Fluent Chatbot memberikan informasi terkait penelitian dan proyek di FILKOM UB?,"Fluent Chatbot dapat memberikan informasi terkait penelitian dan proyek di FILKOM UB, termasuk topik penelitian yang sedang berlangsung, proyek-proyek yang dapat diikuti, dan cara terlibat dalam penelitian.",Tentang chatbot dan sapaan
Apa yang dapat kamu lakukan?,"Fluent Chatbot dapat membantu Anda dengan berbagai informasi terkait FILKOM UB, termasuk jadwal, pendaftaran, kegiatan kampus, informasi dosen, dan banyak lagi. Tanyakan saja!",Tentang chatbot dan sapaan
Bagaimana cara saya berinteraksi denganmu?,Anda dapat berinteraksi dengan Fluent Chatbot dengan mengetikkan pertanyaan atau pernyataan langsung ke kotak obrolan.,Tentang chatbot dan sapaan
Apakah kamu manusia atau robot?,"Fluent Chatbot adalah program komputer dan bukan manusia. Namun, didesain untuk memberikan respons yang cerdas dan membantu sebanyak mungkin.",Tentang chatbot dan sapaan
Bisakah kamu membantu saya?,Fluent Chatbot ada di sini untuk membantu Anda dengan pertanyaan dan informasi seputar FILKOM UB.,Tentang chatbot dan sapaan
Apakah kamu punya kemampuan khusus?,"Fluent Chatbot memiliki kemampuan untuk memberikan informasi akurat dan terkini tentang berbagai aspek kehidupan di FILKOM UB, serta membantu dengan pertanyaan umum pengguna.",Tentang chatbot dan sapaan
Bagaimana jika saya tidak puas dengan jawabanmu?,"Jika Anda tidak puas dengan jawaban atau memerlukan informasi lebih lanjut, silakan sampaikan kepada Fluent Chatbot. Chatbot akan berusaha memberikan jawaban yang lebih memuaskan atau membimbing Anda ke sumber informasi yang tepat.",Tentang chatbot dan sapaan
Apakah interaksi denganmu aman?,Interaksi dengan Fluent Chatbot aman. Semua informasi yang Anda berikan akan dijaga kerahasiaannya sesuai dengan kebijakan privasi FILKOM UB.,Tentang chatbot dan sapaan
"Halo, apa kabar?","Halo! Saya adalah program komputer, jadi saya tidak memiliki perasaan, tetapi saya siap membantu Anda dengan pertanyaan atau informasi yang Anda butuhkan.",Tentang chatbot dan sapaan
Siapa namamu?,Saya disebut Fluent Chatbot. Bagaimana saya dapat membantu Anda hari ini?,Tentang chatbot dan sapaan
Hai Fluent! Apa kabar?,Hai! Saya baik. Bagaimana saya bisa membantu Anda hari ini?,Tentang chatbot dan sapaan
"Apa yang kamu bisa lakukan, Fluent?","Saya dapat memberikan informasi seputar FILKOM UB, membantu dengan pertanyaan akademis dan non-akademis, memberikan jadwal, dan banyak lagi. Silakan beri tahu saya apa yang Anda butuhkan!",Tentang chatbot dan sapaan
Bagaimana cara menggunakan chatbot ini?,Anda dapat berinteraksi dengan saya dengan mengetikkan pertanyaan atau pernyataan Anda ke dalam kotak obrolan. Saya akan mencoba memberikan jawaban sebaik mungkin.,Tentang chatbot dan sapaan
Apa manfaat utama penggunaan chatbot ini?,Manfaat utama penggunaan Fluent Chatbot adalah kemudahan dan kecepatan dalam mendapatkan informasi terkait FILKOM UB. Saya siap membantu Anda tanpa perlu menunggu waktu lama.,Tentang chatbot dan sapaan
Halo! Apa kabar hari ini?,"Halo! Saya program komputer, jadi tidak memiliki kabar. Bagaimana saya bisa membantu Anda hari ini?",Tentang chatbot dan sapaan
Hai! Bagaimana harimu di FILKOM UB?,Saya tidak memiliki pengalaman pribadi karena saya hanyalah program komputer. Bagaimana saya bisa membantu Anda?,Tentang chatbot dan sapaan
Halo! Sudah sarapan pagi belum?,"Saya hanya program komputer, jadi saya tidak makan. Bagaimana saya bisa membantu Anda hari ini?",Tentang chatbot dan sapaan
Halo! Bagaimana suasana hati Anda hari ini?,"Saya adalah program komputer, jadi saya tidak memiliki suasana hati, tetapi saya siap membantu Anda dengan pertanyaan atau informasi yang Anda butuhkan.",Tentang chatbot dan sapaan
Selamat pagi! Bagaimana FILKOM UB dapat membuat hari Anda lebih baik?,Selamat pagi! FILKOM UB menyediakan lingkungan akademis yang mendukung dan beragam kegiatan untuk meningkatkan pengalaman belajar Anda.,Tentang chatbot dan sapaan
Selamat pagi!,Selamat pagi! Bagaimana saya bisa membantu Anda hari ini?,Tentang chatbot dan sapaan
Selamat siang!,Selamat siang! Ada yang bisa saya bantu?,Tentang chatbot dan sapaan
Selamat sore!,Selamat sore! Apakah ada yang perlu ditanyakan?,Tentang chatbot dan sapaan
Selamat malam!,"Selamat malam! Jika Anda memiliki pertanyaan, silakan beri tahu saya.",Tentang chatbot dan sapaan
Kamu sedang apa?,Saya sedang beroperasi dan siap membantu Anda dengan pertanyaan apa pun yang Anda miliki.,Tentang chatbot dan sapaan
Apakah kamu bisa memberikan saran?,Saya akan mencoba memberikan saran sebaik mungkin. Apa yang sedang Anda pikirkan?,Tentang chatbot dan sapaan
"Apa kelebihanmu, Fluent?","Kelebihan saya termasuk kemampuan memberikan informasi cepat, tersedianya 24/7, dan respons yang konsisten.",Tentang chatbot dan sapaan
Apa yang kamu ketahui tentang FILKOM UB?,"Saya memiliki informasi tentang berbagai aspek FILKOM UB, termasuk program studi, kegiatan mahasiswa, dan fasilitas yang tersedia.",Tentang chatbot dan sapaan
Apakah kamu bisa memberikan informasi umum?,Saya dapat memberikan informasi umum tentang FILKOM UB. Silakan ajukan pertanyaan Anda.,Tentang chatbot dan sapaan
Apakah kamu punya tips atau trik?,"Jika Anda mencari informasi tertentu, coba gunakan kata kunci yang spesifik untuk mendapatkan jawaban lebih cepat.",Tentang chatbot dan sapaan
Apa nama awal Fakultas Ilmu Komputer (FILKOM)?,Program Teknologi Informasi dan Ilmu Komputer (PTIIK),Sejarah FILKOM
Kapan FILKOM didirikan?,pada 27 Oktober 2011,Sejarah FILKOM
Kapan PTIIK resmi berubah nama menjadi FILKOM?,PTIIK resmi berubah nama menjadi FILKOM pada tanggal 10 Desember 2014.,Sejarah FILKOM
Siapa yang mengeluarkan keputusan perubahan nama FILKOM?,Keputusan Rektor Universitas Brawijaya Nomor: 516/SK/2011.,Sejarah FILKOM
Apa yang menjadi alasan keputusan untuk mengubah nama PTIIK menjadi FILKOM?,Keputusan ini dikeluarkan oleh Rektor Universitas Brawijaya sebagai respons terhadap perkembangan dan perluasan cakupan FILKOM.,Sejarah FILKOM
Bagaimana Organisasi FILKOM diatur lebih lanjut setelah perubahan nama?,Organisasi FILKOM diatur lebih lanjut oleh Surat Dikti No. 8073/EI/OT/2014 tentang Organisasi dan Tata Kerja Universitas Brawijaya.,Sejarah FILKOM
Apa dasar hukum organisasi FILKOM?,Surat Dikti ini memberikan dasar hukum dan panduan untuk kegiatan akademis dan administratif FILKOM.,Sejarah FILKOM
Apa rujukan surat keputusan SK Dikti yang membentuk PTIIK?,Rujukan surat keputusan SK Dikti yang membentuk PTIIK adalah SK Dikti No.163/KEP/DIKTI/2007,Sejarah FILKOM
Kapan surat keputusan Dikti tentang pembentukan PTIIK dikeluarkan?,Dikeluarkan pada tanggal 27 Oktober 2011.,Sejarah FILKOM
Apa visi FILKOM?,Menjadi unggul secara internasional dalam Teknologi Informasi dan Ilmu Komputer untuk mendukung perkembangan industri dan masyarakat.,Visi Misi FILKOM
Berapa misi FILKOM dalam mencapai visinya?,FILKOM memiliki lima misi utama,Visi Misi FILKOM
Apa yang menjadi fokus utama dalam misi FILKOM?,"Misi FILKOM berfokus pada penyelenggaraan pendidikan berkualitas, peningkatan kemampuan penelitian, integrasi pengembangan, tatakelola organisasi, dan kerja sama berkelanjutan.",Visi Misi FILKOM
Bagaimana FILKOM mencapai standar internasional dalam pendidikan?,FILKOM menekankan pentingnya menyelenggarakan pendidikan yang tidak hanya berkualitas tetapi juga sesuai dengan standar internasional.,Visi Misi FILKOM
Apa komitmen FILKOM dalam memberikan pendidikan?,FILKOM berkomitmen untuk memberikan pendidikan yang memenuhi tuntutan dan perkembangan terkini dalam bidang Teknologi Informasi dan Ilmu Komputer.,Visi Misi FILKOM
Apa tujuan utama FILKOM dalam menghasilkan lulusan?,"Menghasilkan lulusan yang tidak hanya memiliki kompetensi tinggi dalam Teknologi Informasi dan Ilmu Komputer, tetapi juga bersikap profesional, berbudi pekerti luhur, berjiwa entrepreneur, dan memiliki daya saing internasional.",Tujuan FILKOM
Apa yang ingin dicapai FILKOM melalui pengembangan penelitian dan pengabdian?,FILKOM berupaya menciptakan kontribusi yang signifikan untuk pembaruan dan pemanfaatan teknologi yang tepat guna dalam industri dan masyarakat.,Tujuan FILKOM
Bagaimana FILKOM mencapai suasana akademik yang kondusif?,"FILKOM tidak hanya fokus pada aspek akademis, tetapi juga memperhatikan lingkungan yang mendukung pengembangan potensi sivitas akademika.",Tujuan FILKOM
Apa yang diwujudkan oleh FILKOM melalui tata kelola organisasi yang baik?,"FILKOM berkomitmen untuk menjaga transparansi, akuntabilitas, efektivitas, dan efisiensi dalam seluruh aktivitasnya.",Tujuan FILKOM
Apa yang menjadi fokus FILKOM dalam meningkatkan kerja sama?,Ini mencerminkan kesadaran FILKOM akan pentingnya kolaborasi untuk mencapai dampak yang lebih besar dalam lingkup yang lebih luas.,Tujuan FILKOM
Mengapa FILKOM berkomitmen untuk memastikan dosen memiliki kualifikasi tinggi?,Untuk memastikan bahwa dosen memiliki kualifikasi yang tinggi untuk memberikan pengajaran yang berkualitas dan terus mengikuti perkembangan terkini dalam dunia ilmu komputer.,Sasaran pendidikan FILKOM
Apa yang menjadi fokus investasi FILKOM dalam pengembangan sarana dan prasarana pembelajaran?,"Menciptakan lingkungan belajar yang modern, teknologis, dan mendukung kegiatan akademis secara optimal.",Sasaran pendidikan FILKOM
Bagaimana FILKOM memastikan agar kurikulumnya selalu relevan dengan perkembangan industri?,Mengadopsi teknologi terkini dan tren industri.,Sasaran pendidikan FILKOM
Apa yang dilakukan FILKOM untuk meningkatkan mutu lulusan?,"Pendidikan yang berkualitas tinggi, memperhatikan aspek praktis, dan mendukung pengembangan soft skill mahasiswa.",Sasaran pendidikan FILKOM
Apa yang dimaksud dengan program-program akselerasi yang dirancang oleh FILKOM?,"FILKOM merancang program akselerasi dan memberikan dukungan kepada mahasiswa untuk merencanakan perkuliahan, memungkinkan mereka menyelesaikan studi dengan lebih cepat. ",Sasaran pendidikan FILKOM
"Selain meningkatkan mutu lulusan, apa lagi yang menjadi komitmen FILKOM?",Meningkatkan prestasi mahasiswa dan mutu kelembagaan secara keseluruhan.,Sasaran pendidikan FILKOM
Apa sasaran pertama dari program penelitian FILKOM?,Meningkatkan jumlah publikasi ilmiah ,Sasaran penelitian FILKOM
Mengapa peningkatan jumlah publikasi ilmiah menjadi fokus utama FILKOM?,Memperluas kontribusi institusi ini dalam dunia pengetahuan. ,Sasaran penelitian FILKOM
Apa yang dimaksud dengan sasaran kedua dari program penelitian FILKOM?,Meningkatkan kualitas penelitian dengan memperbaiki sarana dan prasarana penelitian,Sasaran penelitian FILKOM
Mengapa meningkatkan sarana dan prasarana penelitian menjadi prioritas FILKOM?,Menciptakan lingkungan yang mendukung penelitian yang lebih baik,Sasaran penelitian FILKOM
Apa sasaran terakhir dari program penelitian FILKOM?,Mengembangkan Grup Riset atau kelompok kajian sebagai bagian dari sasarannya dalam menggalang kolaborasi dan memperluas dampak penelitian.,Sasaran penelitian FILKOM
Bagaimana FILKOM berencana meningkatkan kualitas dan kuantitas pengabdian masyarakat?,Melalui sejumlah program dan inisiatif yang melibatkan peran aktif mahasiswa dan dosen.,Sasaran pengabdian FILKOM
Apa yang dimaksud dengan pemberdayaan masyarakat dalam konteks sasaran FILKOM?,"Kerangka sasaran FILKOM mencakup serangkaian langkah untuk meningkatkan kemampuan dan kemandirian masyarakat, melibatkan mereka dalam program pendidikan, pelatihan, dan kegiatan partisipatif lainnya.",Sasaran pengabdian FILKOM
"Bagaimana FILKOM menyediakan dana, sarana, dan prasarana untuk kegiatan pengabdian masyarakat?","FILKOM memiliki komitmen untuk menyediakan dukungan finansial, sarana, dan prasarana yang diperlukan untuk mendukung kegiatan pengabdian masyarakat, termasuk alokasi dana dan fasilitas yang memadai.",Sasaran pengabdian FILKOM
Apa manfaat meningkatkan pemberdayaan masyarakat menurut pandangan FILKOM?,"Peningkatan pemberdayaan masyarakat akan membawa dampak positif, termasuk peningkatan kualitas hidup dan kontribusi yang lebih besar pada pembangunan sosial dan ekonomi.",Sasaran pengabdian FILKOM
Bagaimana FILKOM melibatkan mahasiswa dan dosen dalam kegiatan pengabdian masyarakat?,FILKOM memberikan peluang bagi mereka untuk berkontribusi secara langsung dalam mengatasi permasalahan masyarakat serta menerapkan pengetahuan yang dimiliki.,Sasaran pengabdian FILKOM
Apa saja sasaran kerjasama yang dimiliki FILKOM?,"Kolaborasi di bidang pendidikan, penelitian, dan pengabdian secara nasional dan internasional, serta peningkatan kerjasama dengan industri untuk pengembangan produk.",Sasaran kerja sama FILKOM
Bagaimana FILKOM mencapai sasaran kerjasamanya di tingkat nasional dan internasional?,"Untuk memperkuat hubungan, membuka peluang kolaborasi yang saling menguntungkan, dan mendukung transfer pengetahuan serta inovasi.",Sasaran kerja sama FILKOM
Mengapa FILKOM menekankan peningkatan kerjasama dengan industri?,Berupaya memperkuat hubungan lintas sektor dan berkontribusi pada pertukaran pengetahuan dan inovasi.,Sasaran kerja sama FILKOM
Bagaimana FILKOM berkontribusi dalam kerjasama di tingkat internasional?,FILKOM menjalin kolaborasi dengan lembaga-lembaga pendidikan dan penelitian global.,Sasaran kerja sama FILKOM
Apa manfaat yang diharapkan dari kerjasama FILKOM dengan industri dalam pengembangan produk?,"Dapat menghasilkan inovasi, teknologi baru, dan pertumbuhan ekonomi yang berkelanjutan.",Sasaran kerja sama FILKOM
Siapa Dekan Fakultas Ilmu Komputer?,"Prof. Ir. Wayan Firdaus Mahmudy, S.Si., MT., Ph.D.",Manajemen / Struktur Organisasi FILKOM
Siapakah Wakil Dekan Bidang Akademik / Wakil Dekan 1 FILKOM?,"Dr. Eng. Ir. Herman Tolle, ST., MT.",Manajemen / Struktur Organisasi FILKOM
"Siapa Wakil Dekan Bidang Umum, Keuangan, dan Sumber Daya / Wakil Dekan 2 FILKOM?","Agus Wahyu Widodo, ST., M.Cs.",Manajemen / Struktur Organisasi FILKOM
"Siapa Wakil Dekan Bidang Kemahasiswaan, Alumni, dan Kewirausahaan Mahasiswa / Wakil Dekan 3 FILKOM?"," Drs. Muh. Arif Rahman, M.Kom.",Manajemen / Struktur Organisasi FILKOM
Siapakah Ketua Departemen Teknik Informatika di FILKOM?,"Achmad Basuki, S.T., M.MG., Ph.D.",Manajemen / Struktur Organisasi FILKOM
Siapakah Sekretaris Departemen Teknik Informatika di FILKOM?,"Ir. Primantara Hari Trisnawan, M.Sc.",Manajemen / Struktur Organisasi FILKOM
Siapa Ketua Program Studi Magister Ilmu Komputer di FILKOM?,"Sabriansyah Rizqika Akbar, S.T., M.Eng., Ph.D.",Manajemen / Struktur Organisasi FILKOM
Siapakah Ketua Program Studi Sarjana Teknik Informatika di FILKOM?,"Adhitya Bhawiyuga, S.Kom., M.Sc.",Manajemen / Struktur Organisasi FILKOM
"Apa jabatan dari Prof. Ir. Wayan Firdaus Mahmudy, S.Si., MT., Ph.D.?",Dekan Fakultas Ilmu Komputer,Manajemen / Struktur Organisasi FILKOM
"Apa jabatan dari Dr. Eng. Ir. Herman Tolle, ST., MT.?",Wakil Dekan Bidang Akademik / Wakil Dekan 1,Manajemen / Struktur Organisasi FILKOM
"Apa jabatan dari Agus Wahyu Widodo, ST., M.Cs.?","Wakil Dekan Bidang Umum, Keuangan, dan Sumber Daya / Wakil Dekan 2",Manajemen / Struktur Organisasi FILKOM
"Apa jabatan dari Drs. Muh. Arif Rahman, M.Kom.?","Wakil Dekan Bidang Kemahasiswaan, Alumni, dan Kewirausahaan Mahasiswa / Wakil Dekan 3",Manajemen / Struktur Organisasi FILKOM
"Apa jabatan dari Achmad Basuki, S.T., M.MG., Ph.D.?",Ketua Departemen Teknik Informatika,Manajemen / Struktur Organisasi FILKOM
"Apa jabatan dari Ir. Primantara Hari Trisnawan, M.Sc.?",Sekretaris Departemen Teknik Informatika,Manajemen / Struktur Organisasi FILKOM
"Apa jabatan dari Sabriansyah Rizqika Akbar, S.T., M.Eng., Ph.D.?",Memimpin Program Studi Magister Ilmu Komputer,Manajemen / Struktur Organisasi FILKOM
"Apa jabatan dari Adhitya Bhawiyuga, S.Kom., M.Sc.?",Mengepalai Program Studi Sarjana Teknik Informatika.,Manajemen / Struktur Organisasi FILKOM
Siapakah yang menjabat sebagai Ketua Program Studi Sarjana Teknik Komputer di lingkungan FILKOM?,"Barlian Henryranu Prasetio, S.T., M.T., Ph.D.",Manajemen / Struktur Organisasi FILKOM
"Apa peran Barlian Henryranu Prasetio, S.T., M.T., Ph.D.?","Barlian Henryranu Prasetio, S.T., M.T., Ph.D., menjabat sebagai Ketua Program Studi Sarjana Teknik Komputer",Manajemen / Struktur Organisasi FILKOM
Siapakah yang menjabat sebagai Ketua Departemen Sistem Informasi di lingkungan FILKOM?,"Issa Arwani, S.Kom., M.Sc.",Manajemen / Struktur Organisasi FILKOM
"Apa peran Issa Arwani, S.Kom., M.Sc.?","Issa Arwani, S.Kom., M.Sc., menjabat sebagai Ketua Departemen Sistem Informasi",Manajemen / Struktur Organisasi FILKOM
Siapakah yang menjabat sebagai Sekretaris Departemen Sistem Informasi di lingkungan FILKOM?,"Satrio Agung Wicaksono, S.Kom., M.Kom., menjabat sebagai Sekretaris Departemen Sistem Informasi",Manajemen / Struktur Organisasi FILKOM
"Apa peran Satrio Agung Wicaksono, S.Kom., M.Kom.?","Satrio Agung Wicaksono, S.Kom., M.Kom.",Manajemen / Struktur Organisasi FILKOM
Siapakah yang menjabat sebagai Ketua Program Studi Sarjana Sistem Informasi?,"Yusi Tyroni Mursityo, S.Kom., M.S., menjabat sebagai Ketua Program Studi Sarjana Sistem Informasi",Manajemen / Struktur Organisasi FILKOM
"Apa peran Yusi Tyroni Mursityo, S.Kom., M.S.?","Yusi Tyroni Mursityo, S.Kom., M.S.",Manajemen / Struktur Organisasi FILKOM
Siapakah yang menjabat sebagai Ketua Program Studi Sarjana Pendidikan Teknologi Informasi?,"Ir. Admaja Dwi Herlambang, S.Pd., M.Pd., bertanggung jawab sebagai Ketua Program Studi Sarjana Pendidikan Teknologi Informasi",Manajemen / Struktur Organisasi FILKOM
"Apa peran Ir. Admaja Dwi Herlambang, S.Pd., M.Pd.?","Ir. Admaja Dwi Herlambang, S.Pd., M.Pd.",Manajemen / Struktur Organisasi FILKOM
Siapakah yang menjabat sebagai Ketua Program Studi Sarjana Teknologi Informasi di lingkungan FILKOM?,"Ir. Widhy Hayuhardhika Nugraha Putra, S.Kom., M.Kom., menjabat sebagai Ketua Program Studi Sarjana Teknologi Informasi",Manajemen / Struktur Organisasi FILKOM
"Apa peran Ir. Widhy Hayuhardhika Nugraha Putra, S.Kom., M.Kom.?","Ir. Widhy Hayuhardhika Nugraha Putra, S.Kom., M.Kom.",Manajemen / Struktur Organisasi FILKOM
Siapakah Ketua Badan Penerbitan Jurnal (BPJ)?,"Ketua Badan Penerbitan Jurnal (BPJ) adalah Agung Setia Budi, S.T., M.T., M.Eng., Ph.D.",Manajemen / Struktur Organisasi FILKOM
"Apa jabatan Agung Setia Budi, S.T., M.T., M.Eng., Ph.D. di lingkungan FILKOM?","Agung Setia Budi, S.T., M.T., M.Eng., Ph.D. menjabat sebagai Ketua Badan Penerbitan Jurnal (BPJ) di lingkungan FILKOM.",Manajemen / Struktur Organisasi FILKOM
Siapakah Ketua Unit Pengelola Sistem Informasi dan Kehumasan (PSIK)?,"Ketua Unit Pengelola Sistem Informasi dan Kehumasan (PSIK) adalah Dahnial Syauqy, S.T., M.T.",Manajemen / Struktur Organisasi FILKOM
"Apa jabatan Dahnial Syauqy, S.T., M.T. di lingkungan FILKOM?","Dahnial Syauqy, S.T., M.T. menjabat sebagai Ketua Unit Pengelola Sistem Informasi dan Kehumasan (PSIK) di lingkungan FILKOM.",Manajemen / Struktur Organisasi FILKOM
Siapakah Sekretaris Unit Pengelola Sistem Informasi dan Kehumasan (PSIK)?,"Sekretaris Unit Pengelola Sistem Informasi dan Kehumasan (PSIK) adalah Fais Al Huda, S.Kom., M.Kom.",Manajemen / Struktur Organisasi FILKOM
"Apa jabatan Fais Al Huda, S.Kom., M.Kom. di lingkungan FILKOM?","Fais Al Huda, S.Kom., M.Kom. menjabat sebagai Sekretaris Unit Pengelola Sistem Informasi dan Kehumasan (PSIK) di lingkungan FILKOM.",Manajemen / Struktur Organisasi FILKOM
Siapakah Ketua Badan Penelitian dan Pengabdian kepada Masyarakat (BPPM)?,"Ketua Badan Penelitian dan Pengabdian kepada Masyarakat (BPPM) adalah Bayu Rahayudi, S.T., M.T.",Manajemen / Struktur Organisasi FILKOM
"Apa jabatan Bayu Rahayudi, S.T., M.T. di lingkungan FILKOM?","Bayu Rahayudi, S.T., M.T. menjabat sebagai Ketua Badan Penelitian dan Pengabdian kepada Masyarakat (BPPM) di lingkungan FILKOM.",Manajemen / Struktur Organisasi FILKOM
Siapakah Sekretaris Badan Penelitian dan Pengabdian kepada Masyarakat (BPPM)?,"Sekretaris Badan Penelitian dan Pengabdian kepada Masyarakat (BPPM) adalah Faizatul Amalia, S.Pd., M.Pd.",Manajemen / Struktur Organisasi FILKOM
"Apa jabatan Faizatul Amalia, S.Pd., M.Pd. di lingkungan FILKOM?","Faizatul Amalia, S.Pd., M.Pd. menjabat sebagai Sekretaris Badan Penelitian dan Pengabdian kepada Masyarakat (BPPM) di lingkungan FILKOM.",Manajemen / Struktur Organisasi FILKOM
Siapakah Ketua Unit Peningkatan Kompetensi Profesi?,"Ketua Unit Peningkatan Kompetensi Profesi adalah Tri Afirianto, S.T., M.T.",Manajemen / Struktur Organisasi FILKOM
"Apa jabatan Tri Afirianto, S.T., M.T. di lingkungan FILKOM?","Tri Afirianto, S.T., M.T. menjabat sebagai Ketua Unit Peningkatan Kompetensi Profesi di lingkungan FILKOM.",Manajemen / Struktur Organisasi FILKOM
Siapakah Ketua Unit Pengembangan Media Digital?,"Hanifah Muslimah Az-Zahra, S.Sn., M.Ds.",Manajemen / Struktur Organisasi FILKOM
"Apa jabatan Hanifah Muslimah Az-Zahra, S.Sn., M.Ds. di lingkungan FILKOM?","Hanifah Muslimah Az-Zahra, S.Sn., M.Ds., menjabat sebagai Ketua Unit Pengembangan Media Digital",Manajemen / Struktur Organisasi FILKOM
Siapakah Kepala Laboratorium Sistem Cerdas?,"Dr.Eng. Novanto Yudistira, S.Kom., M.Sc.",Manajemen / Struktur Organisasi FILKOM
"Apa jabatan Dr.Eng. Novanto Yudistira, S.Kom., M.Sc. di lingkungan FILKOM?","Dr.Eng. Novanto Yudistira, S.Kom., M.Sc., menjabat sebagai Kepala Laboratorium Sistem Cerdas di FILKOM",Manajemen / Struktur Organisasi FILKOM
Siapakah Sekretaris Laboratorium Sistem Cerdas?,"Dr. Dian Eka Ratnawati, S.Si., M.Kom",Manajemen / Struktur Organisasi FILKOM
"Apa jabatan Dr. Dian Eka Ratnawati, S.Si., M.Kom di lingkungan FILKOM?","Dr. Dian Eka Ratnawati, S.Si., M.Kom., menjabat sebagai Sekretaris Laboratorium Sistem Cerdas di FILKOM",Manajemen / Struktur Organisasi FILKOM
Siapakah Kepala Laboratorium Robotika dan Embedded System?,"Edita Rosana Widasari, S.T., M.T., M.Eng., Ph.D.",Manajemen / Struktur Organisasi FILKOM
"Apa jabatan Edita Rosana Widasari, S.T., M.T., M.Eng., Ph.D. di lingkungan FILKOM?","Edita Rosana Widasari, S.T., M.T., M.Eng., Ph.D., menjabat sebagai Kepala Laboratorium Robotika dan Embedded System di FILKOM",Manajemen / Struktur Organisasi FILKOM
Siapakah Sekretaris Laboratorium Robotika dan Embedded System?,"Hurriyatul Fitriyah, S.T., M.Sc.",Manajemen / Struktur Organisasi FILKOM
"Apa jabatan Hurriyatul Fitriyah, S.T., M.Sc. di lingkungan FILKOM?","Hurriyatul Fitriyah, S.T., M.Sc. menjabat sebagai Sekretaris Laboratorium Robotika dan Embedded System di FILKOM.",Manajemen / Struktur Organisasi FILKOM
Siapakah Kepala Laboratorium Rekayasa Perangkat Lunak?,"Tri Astoto Kurniawan, S.T., M.T., Ph.D.",Manajemen / Struktur Organisasi FILKOM
"Apa jabatan Tri Astoto Kurniawan, S.T., M.T., Ph.D. di lingkungan FILKOM?","Tri Astoto Kurniawan, S.T., M.T., Ph.D., merupakan Kepala Laboratorium Rekayasa Perangkat Lunak di FILKOM.",Manajemen / Struktur Organisasi FILKOM
Siapakah Sekretaris Laboratorium Rekayasa Perangkat Lunak?,"Denny Sagita Rusdianto, S.Kom., M.Kom.",Manajemen / Struktur Organisasi FILKOM
